Data.set,Source,Predation.Parasitism,Dim,Field,Habitat,Fresh_Marine,Predator_Cellularity,Pred_Vert.Invert,Pred_Major_Grouping_1,Pred_Major_Grouping_2,Predator_Scientific_Name,Predator_Type,Trophic_Level_Predator,Prey_Cellularity,Prey_Vert.Invert,Prey_Major_Group_1,Prey_Major_Group_2,Prey,Prey_scientific_name,Prey_type,Trophic_Level_prey,Data_type,Prey_Replaced,Hours_starved,Temp_C,Interference,Pred_per_arena,X2D_Arena_Size_cm2,X3D_arena_size_cm3,Pred_mass_mg,Pred_Mass_Source,Pred_Mass_ID,Prey_mass_mg,Prey_Mass_Source,Prey_Mass_ID,Units_a,R2_Mean,Fitted_a,CI_a_low,CI_a_hi,Fitted_h_day,CI_h_low,CI_h_hi,Notes.1,Include_Biotic_Prey
1,Soluk 1993 ECOLOGY,Predator,2.5,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Perlidae,Agnetina capitata,Larva,,Metazoan,Invertebrate,Insect,Baetidae,Mayfly,Baetis tricaudatus,Larva,,Mean,N,24,,,1,1.90E+03,,6.88E+01,Original length,2,4.96E+00,Alternate species length,2,m^2.5 per pred per day,143.68,3.13E-02,1.43E-02,1.00E-01,2.65E-02,1.75E-02,3.77E-02,,1
2,Soluk 1993 ECOLOGY,Predator,2.5,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Perlidae,Agnetina capitata,Larva,,Metazoan,Invertebrate,Insect,Ephemerellidae,Mayfly,Ephemerella subvaria,Larva,,Mean,N,24,,,1,1.90E+03,,6.88E+01,Original length,2,6.66E+00,Alternate species length,2,m^2.5 per pred per day,129.24,5.78E-03,1.45E-03,3.55E-02,9.85E-02,3.77E-07,1.75E-01,,1
3,Hassanpour et al 2011 INS SCI,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Neuroptera,Chrysoperla carnea,1st instar,3,Metazoan,Invertebrate,Insect,Lepidoptera,Cotton bollworm,Helicoverpa armigera,Egg,2,Raw data,N,12,26,,1,1.96E+01,,4.61E-03,Alternate species length,4,2.05E-03,Alternate species length,2,m^2 per pred per day,48.45,1.02E-02,9.08E-03,1.17E-02,2.35E-02,1.91E-02,2.65E-02,,0
4,Hassanpour et al 2011 INS SCI,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Neuroptera,Chrysoperla carnea,2nd instar,3,Metazoan,Invertebrate,Insect,Lepidoptera,Cotton bollworm,Helicoverpa armigera,Egg,2,Raw data,N,12,26,,1,1.96E+01,,2.49E+00,% adult mass,5,2.05E-03,Alternate species length,2,m^2 per pred per day,216.63,9.05E-03,7.47E-03,1.07E-02,5.62E-03,3.84E-03,6.60E-03,,0
5,Hassanpour et al 2011 INS SCI,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Neuroptera,Chrysoperla carnea,1st instar,3,Metazoan,Invertebrate,Insect,Lepidoptera,Cotton bollworm,Helicoverpa armigera,1st instar,2,Raw data,N,12,26, ,1,1.96E+01,,4.61E-03,Alternate species length,4,9.42E-03,% adult mass,3,m^2 per pred per day,85.84,8.54E-03,5.79E-03,1.10E-02,2.46E-02,1.69E-02,3.02E-02,,1
6,Hassanpour et al 2011 INS SCI,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Neuroptera,Chrysoperla carnea,2nd instar,3,Metazoan,Invertebrate,Insect,Lepidoptera,Cotton bollworm,Helicoverpa armigera,1st instar,2,Raw data,N,12,26,,1,1.96E+01,,2.49E+00,% adult mass,5,9.42E-03,% adult mass,3,m^2 per pred per day,137.28,1.19E-02,1.02E-02,1.38E-02,7.46E-03,6.67E-03,8.31E-03,,1
7,Parajulee 2006 ENVIRON ENTOMOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Neuroptera,Chrysopa oculata,2nd and 3rd instar,3,Metazoan,Invertebrate,Insect,Lepidoptera,Corn earworm/Cotton bollworm,Helicoverpa zea,Egg,2,Mean,N,,29,,1,7.85E+01,,2.05E+01,% adult mass,4,2.68E-03,Alternate species length,1,m^2 per pred per day,199.4,2.42E-02,1.56E-02,3.47E-02,9.82E-03,6.09E-03,1.48E-02,,0
8,Parajulee 2006 ENVIRON ENTOMOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Geocoris punctipes,Adult,3,Metazoan,Invertebrate,Insect,Lepidoptera,Corn earworm/Cotton bollworm,Helicoverpa zea,Egg,2,Mean,N,,29,,1,7.85E+01,,1.69E+00,Alternate species length,1,2.68E-03,Alternate species length,1,m^2 per pred per day,136.49,1.90E-02,9.01E-03,3.72E-02,9.95E-03,4.20E-09,2.15E-02,,0
9,Enkegaard et al 2001 ENTO EXP APPL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Macrolophus caliginosus,Adult female,3,Metazoan,Invertebrate,Insect,Hemiptera,Greenhouse whitefly,Trialeurodes vaporariorum,1st instar,2,Mean,N,23,22,,1,5.82E+01,,2.24E+00,Alternate species length,1,4.12E-04,Alternate species length,3,m^2 per pred per day,876.61,2.38E-03,1.99E-03,3.10E-03,7.30E-04,9.59E-10,1.00E-02,,1
10,Sepulveda and Carrillo 2008 REV BIO TROP,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Chileseius camposi,Adult,3,Metazoan,Invertebrate,Arachnid,Mite,European red mite,Panonychus ulmi,Adult female,2,Mean,N,24,20,,1,3.14E+00,,6.13E-02,Alternate order mass,1,2.53E-02,Alternate species length,1,m^2 per pred per day,336.36,1.16E-04,6.46E-05,1.84E-04,1.65E-01,8.92E-02,2.51E-01,,1
