"","Data.set","Source","Predation.Parasitism","Dim","Field","Habitat","Fresh_Marine","Predator_Cellularity","Pred_Vert.Invert","Pred_Major_Grouping_1","Pred_Major_Grouping_2","Predator_Scientific_Name","Predator_Type","Trophic_Level_Predator","Prey_Cellularity","Prey_Vert.Invert","Prey_Major_Group_1","Prey_Major_Group_2","Prey","Prey_scientific_name","Prey_type","Trophic_Level_prey","Data_type","Prey_Replaced","Hours_starved","Temp_C","Interference","Pred_per_arena","X2D_Arena_Size_cm2","X3D_arena_size_cm3","Pred_mass_mg","Pred_Mass_Source","Pred_Mass_ID","Prey_mass_mg","Prey_Mass_Source","Prey_Mass_ID","Units_a","R2_Mean","Fitted_a","CI_a_low","CI_a_hi","Fitted_h_day","CI_h_low","CI_h_hi","Notes.1","Include_Biotic_Prey","PreyAbundanceGroup","Mass_g","PredMass_g","PreyAbundance_10","PreyAbundance_20","PreyAbundance_30","PreyAbundance_40","PreyAbundance_50","PreyAbundance_60","PreyAbundance_70","PreyAbundance_80","PreyAbundance_90","frac_10","frac_20","frac_30","frac_40","frac_50","frac_60","frac_70","frac_80","frac_90"
"1",1,"Soluk 1993 ECOLOGY","Predator",2.5,"","Aquatic","Fresh","Metazoan","Invertebrate","Insect","Perlidae","Agnetina capitata","Larva",NA,"Metazoan","Invertebrate","Insect","Baetidae","Mayfly","Baetis tricaudatus","Larva",NA,"Mean","N","24",NA,"","1",1900,"",68.8,"Original length","2",4.96,"Alternate species length","2","m^2.5 per pred per day","143.68",0.0313,0.0143,0.1,0.0265,0.0175,0.0377,"",1,"Ectotherm",0.00496,0.0688,3.05388303350713,9.10931254675291,20.8509184646018,39.9390984925565,80.4140203337974,160.590228366311,315.097712197223,725.140900608852,2336.0346878865,0.00252664318559484,0.00749905851084271,0.0170007695085244,0.0320652443360426,0.0625287767038566,0.117544459028367,0.207203537271065,0.375572958646378,0.659588834521834
"2",2,"Soluk 1993 ECOLOGY","Predator",2.5,"","Aquatic","Fresh","Metazoan","Invertebrate","Insect","Perlidae","Agnetina capitata","Larva",NA,"Metazoan","Invertebrate","Insect","Ephemerellidae","Mayfly","Ephemerella subvaria","Larva",NA,"Mean","N","24",NA,"","1",1900,"",68.8,"Original length","2",6.66,"Alternate species length","2","m^2.5 per pred per day","129.24",0.00578,0.00145,0.0355,0.0985,3.77e-07,0.175,"",1,"Ectotherm",0.00666,0.0688,2.27432523225472,7.1169095637634,16.9102020999957,35.4685973644982,66.95497320941,125.895840654739,257.729272900249,573.389655105807,1672.20819032101,0.00129316713789375,0.00403551872419235,0.00953568073490248,0.0197936369649939,0.0367197377749647,0.0668823975739413,0.127957428671047,0.246106857556902,0.487714966638994
"3",5,"Hassanpour et al 2011 INS SCI","Predator",2,"","Terrestrial","","Metazoan","Invertebrate","Insect","Neuroptera","Chrysoperla carnea","1st instar",3,"Metazoan","Invertebrate","Insect","Lepidoptera","Cotton bollworm","Helicoverpa armigera","1st instar",2,"Raw data","N","12",26," ","1",19.6,"",0.00461,"Alternate species length","4",0.00942,"% adult mass","3","m^2 per pred per day","85.84",0.00854,0.00579,0.011,0.0246,0.0169,0.0302,"",1,"Ectotherm",9.42e-06,4.61e-06,371.249088768806,1156.83036672711,2436.48085155998,4941.58671347641,9451.29676033709,19687.9331012913,38529.0261649464,83549.9077289128,265381.367620174,0.0723506162425737,0.195515190756198,0.338565563358686,0.509358569014751,0.665055160920221,0.805300489264447,0.8900414007994,0.946098905061016,0.982379593358419
"4",6,"Hassanpour et al 2011 INS SCI","Predator",2,"","Terrestrial","","Metazoan","Invertebrate","Insect","Neuroptera","Chrysoperla carnea","2nd instar",3,"Metazoan","Invertebrate","Insect","Lepidoptera","Cotton bollworm","Helicoverpa armigera","1st instar",2,"Raw data","N","12",26,"","1",19.6,"",2.49,"% adult mass","5",0.00942,"% adult mass","3","m^2 per pred per day","137.28",0.0119,0.0102,0.0138,0.00746,0.00667,0.00831,"",1,"Ectotherm",9.42e-06,0.00249,394.839971067481,1100.41936068086,2385.9746267727,4775.82499119909,9429.44442325129,17172.3100253746,34503.0633146129,75396.9808315879,248087.313910477,0.0338645205505506,0.0889948440790007,0.17478983712748,0.297737564256431,0.455660706558228,0.603874840879512,0.753874928074853,0.870016625513718,0.956566500571507
"5",9,"Enkegaard et al 2001 ENTO EXP APPL","Predator",2,"","Terrestrial","","Metazoan","Invertebrate","Insect","Hemiptera","Macrolophus caliginosus","Adult female",3,"Metazoan","Invertebrate","Insect","Hemiptera","Greenhouse whitefly","Trialeurodes vaporariorum","1st instar",2,"Mean","N","23",22,"","1",58.2,"",2.24,"Alternate species length","1",0.000412,"Alternate species length","3","m^2 per pred per day","876.61",0.00238,0.00199,0.0031,0.00073,9.59e-10,0.01,"",1,"Ectotherm",4.12e-07,0.00224,4052.18571803798,11602.8990442884,29194.5045332565,57961.8853248111,114315.096922667,216659.848856315,430179.738995589,903229.319470181,2387523.12765803,0.00699104861440235,0.0197605267747993,0.0482739549432065,0.0914896947069934,0.165700999914818,0.273480117148192,0.427719311957049,0.610784480096067,0.80575292555075
"6",10,"Sepulveda and Carrillo 2008 REV BIO TROP","Predator",2,"","Terrestrial","","Metazoan","Invertebrate","Arachnid","Mite","Chileseius camposi","Adult",3,"Metazoan","Invertebrate","Arachnid","Mite","European red mite","Panonychus ulmi","Adult female",2,"Mean","N","24",20,"","1",3.14,"",0.0613,"Alternate order mass","1",0.0253,"Alternate species length","1","m^2 per pred per day","336.36",0.000116,6.46e-05,0.000184,0.165,0.0892,0.251,"",1,"Ectotherm",2.53e-05,6.13e-05,180.340791962715,555.699992220857,1188.14420349582,2249.56781471468,4515.47978858691,8755.47278143702,16806.9093805559,39466.5103806153,128572.297500706,0.00343984935187384,0.0105241618360184,0.022235422531076,0.041279373229571,0.0795509870238828,0.143527454270223,0.243389634573025,0.430325702706128,0.71105562778241
"7",14,"Hoque et al 2010 UNIV J ZOOL","Predator",2,"","Terrestrial","","Metazoan","Invertebrate","Arachnid","Mite","Phytoseiulus persimilis","Adult female",3,"Metazoan","Invertebrate","Arachnid","Mite","Red spider mite","Tetranychus urticae","Adult male",2,"Mean","N","",NA,"","1",113,"",0.0666,"Alternate species length","1",0.0666,"Alternate species length","1","m^2 per pred per day","44.49",0.00326,0.0025,0.00435,0.0734,0.0491,0.0975,"24 hr trial",1,"Ectotherm",6.66e-05,6.66e-05,86.1505850270008,256.539252219604,564.746752640705,1141.49040824357,2063.74065889697,3913.67839489459,7527.20788957125,17484.7253301838,52432.7820059482,0.0201980840605813,0.0578354656611708,0.119047407041732,0.214540668735378,0.330575357280532,0.483599273272923,0.643002544433461,0.807091881764439,0.926179244906551
"8",15,"Hoque et al 2010 UNIV J ZOOL","Predator",2,"","Terrestrial","","Metazoan","Invertebrate","Arachnid","Mite","Phytoseiulus persimilis","Adult female",3,"Metazoan","Invertebrate","Arachnid","Mite","Red spider mite","Tetranychus urticae","Adult female",2,"Mean","N","",NA,"","1",113,"",0.0666,"Alternate species length","1",0.0703,"Alternate species length","3","m^2 per pred per day","-18.14",0.000987,0.000632,0.00165,0.173,0.0398,0.299,"24 hr trial",1,"Ectotherm",7.03e-05,6.66e-05,78.7840711934268,239.526229370087,526.952000359062,1034.96389994098,2063.72691650943,3919.57484380966,7886.1089852361,16744.0021794423,51490.2918831985,0.0132738924472239,0.0392923133814103,0.0825499373387676,0.150180971296614,0.260564737539561,0.400936213586486,0.573844446410421,0.740869210233063,0.897876013370924
"9",19,"Hoque et al 2010 UNIV J ZOOL","Predator",2,"","Terrestrial","","Metazoan","Invertebrate","Arachnid","Mite","Phytoseiulus persimilis","Adult female",3,"Metazoan","Invertebrate","Arachnid","Mite","Red spider mite","Tetranychus urticae","Adult male",2,"Mean","N","",NA,"","1",113,"",0.0666,"Alternate species length","1",0.0666,"Alternate species length","1","m^2 per pred per day","-122.76",0.000777,0.000648,0.000957,0.163,0.0911,0.229,"48 hr trial",1,"Ectotherm",6.66e-05,6.66e-05,78.991044724148,256.751193500516,616.70274068367,1180.07417252486,2119.4837360556,3975.97738087358,8027.64247703576,18246.6906911883,55302.0641611531,0.00990520026183258,0.0314936900387111,0.0724474378656342,0.13002443709268,0.211626761173606,0.334912477801689,0.50414262736845,0.697972941415262,0.875063432295567
"10",20,"Hoque et al 2010 UNIV J ZOOL","Predator",2,"","Terrestrial","","Metazoan","Invertebrate","Arachnid","Mite","Phytoseiulus persimilis","Adult female",3,"Metazoan","Invertebrate","Arachnid","Mite","Red spider mite","Tetranychus urticae","Adult female",2,"Mean","N","",NA,"","1",113,"",0.0666,"Alternate species length","1",0.0703,"Alternate species length","3","m^2 per pred per day","-165.57",3e-04,2e-04,0.000459,0.465,1.3e-06,0.835,"48 hr trial",1,"Ectotherm",7.03e-05,6.66e-05,77.2047102957912,243.258873411468,572.489909189737,1125.94435160176,2149.53940175935,4057.7339089878,7954.00074807118,17433.8964528916,55226.8950711198,0.0106552989087445,0.0328208500029408,0.0739560397666106,0.135747483399621,0.230686823448091,0.361452365990109,0.525972691981098,0.70862713292663,0.885112298612649
